id,cps19_age,cps19_gender,cps19_interest_gen_1
1544,56,1,10
1545,61,1,7
1546,66,1,10
1547,70,1,10
1548,47,2,2
1549,33,1,6
1550,60,2,9
1551,56,1,7
1552,28,2,5
1553,45,1,NA
1554,19,2,7
1555,65,1,10
1556,62,1,6
1557,48,2,10
1558,42,1,8
1559,40,1,5
1560,52,2,10
1561,80,1,9
1562,38,2,9
1563,70,1,9
1564,74,2,10
1565,46,2,9
1566,74,1,8
1567,86,1,7
1568,74,2,6
1569,38,1,9
1570,52,2,3
1571,54,1,6
1572,51,2,5
1573,50,2,8
1574,62,1,6
1575,50,2,7
1576,51,2,7
1577,65,2,NA
1578,66,2,6
1579,59,2,7
1580,71,1,8
1581,57,1,7
1582,54,2,9
1583,60,1,7
1584,55,1,8
1585,47,2,3
1586,78,2,9
1587,63,2,4
1588,54,2,7
1589,27,2,6
1590,53,2,NA
1591,44,2,7
1592,74,2,4
1593,54,1,8
1594,65,1,10
1595,41,1,7
1596,87,1,9
1597,55,2,0
1598,48,2,9
1599,59,1,8
1600,65,1,7
1601,65,1,10
1602,66,1,8
1603,24,2,4
1604,66,1,6
1605,55,1,7
1606,73,2,9
1607,58,1,5
1608,58,1,7
1609,35,2,7
1610,60,1,7
1611,40,2,9
1612,66,1,NA
1613,55,2,9
1614,63,2,NA
1615,60,2,10
1616,43,1,7
1617,66,2,8
1618,38,2,2
1619,65,1,5
1620,44,2,2
1621,64,1,10
1622,58,2,5
1623,78,2,NA
1624,55,1,6
1625,81,1,6
1626,50,1,10
1627,41,1,3
1628,64,2,8
1629,36,2,4
1630,69,1,7
1631,69,1,3
1632,61,1,9
1633,46,2,8
1634,56,2,6
1635,49,1,8
1636,53,1,10
1637,66,1,9
1638,26,2,6
1639,61,1,7
1640,56,1,7
1641,65,1,10
1642,73,2,7
1643,63,2,6
1644,36,1,4
1645,59,1,8
1646,58,1,7
1647,33,2,1
1648,41,1,7
